Date,FileSize KB,Druid Clean Ingestion,Druid Clean Query,Druid Full Ingestion,Druid Full Query,Druid Empty Ingestion,Druid Empty Query,Druid Full Empty Ingestion,Druid Full Empty Query
25/4,9113.6,7823,77,4579,54,5903,171,6965,95
26/4,11264,7908,74,4973,56,6189,71,4526,73
27/4,11264,8079,86,5179,36,5526,56,5046,72
28/4,12288,7850,90,4733,40,4723,51,5206,61
29/4,13312,8165,85,5072,63,5099,57,4531,78
30/4,13312,8340,93,4874,70,4742,61,6411,49
2/5,344,6176,97,3847,48,4020,90,5017,62
3/5,880,6369,98,4596,77,4949,93,4783,47
4/5,1331.2,6498,98,4906,51,4265,91,4896,57
5/5,1740.8,6673,95,4258,77,4355,84,3924,67
6/5,2252.8,6665,104,4905,68,5080,57,4829,42
7/5,2662.4,6827,102,3982,56,4143,81,3804,58
8/5,3072,6608,105,4821,89,4346,90,4608,67
9/5,3481.6,7045,99,4237,59,5307,61,4682,45
10/5,3891.2,6841,100,4643,77,4459,55,4405,51
11/5,4403.2,6953,105,4399,65,4852,83,4992,80
12/5,4812.8,7261,98,5165,57,4264,77,4527,48
13/5,5222.4,7518,101,4326,54,5217,92,4410,46
14/5,5632,7250,103,5006,60,4787,89,5269,56
15/5,6041.6,7480,100,4115,78,5935,80,5528,48
16/5,6451.2,7545,105,4478,54,5143,69,4092,81
17/5,6860.8,7688,102,4562,81,6230,53,4304,65
18/5,7270.4,7436,100,4428,80,4886,53,4069,83
19/5,7680,7827,100,5194,81,5740,54,5331,47
20/5,8089.6,7544,103,4635,57,6181,57,4695,73
21/5,8499.2,7571,106,4334,56,5910,59,5505,47
22/5,8908.8,7827,123,4434,81,4795,57,6006,50
23/5,9523.2,8164,109,4936,79,5236,80,5896,43
24/5,10035.2,7736,101,5007,80,6232,56,5113,86
25/5,11264,8114,105,5777,81,4843,53,4573,42
26/5,11264,8138,109,5707,57,6066,51,4328,56
27/5,12288,8150,99,4678,57,5045,80,5914,47
28/5,12288,8437,109,5179,55,4847,84,4452,54
29/5,12288,8132,99,5343,54,4890,56,4798,47
30/5,13312,7975,110,4754,54,6436,60,4685,83
31/5,13312,8111,118,6191,55,5380,53,5183,69
1/6,28,5946,97,3567,53,3734,63,3487,84
2/6,460,6229,96,3866,55,4251,59,3771,53
3/6,920,6250,93,3955,56,4645,62,4390,49
4/6,1433.6,6691,96,3660,51,3910,63,4842,57
5/6,1843.2,6566,94,4905,81,4932,64,4837,47
6/6,2252.8,6750,109,4617,53,5141,57,4431,67
7/6,2764.8,6688,97,4223,80,4516,96,4260,66
8/6,3174.4,6831,96,3900,51,4618,93,4551,41
9/6,3584,6825,97,4845,82,5818,92,4057,51
10/6,4096,6849,95,4477,81,5461,57,3989,42
11/6,4096,6993,99,4852,52,5072,98,4726,51
12/6,4915.2,7464,95,4381,53,4603,55,4180,47
13/6,5427.2,7395,104,4846,57,5595,63,4150,73
